x,y,z
0.00867999996989965,-0.031920000910759,-0.680400013923645
-0.00308000016957521,-0.0392000004649162,-0.658560037612915
-0.0246400013566017,-0.0481600016355515,-0.639660000801086
-0.0425599999725819,-0.062720000743866,-0.627480030059814
-0.0555800013244152,-0.0732199996709824,-0.62635999917984
-0.069020003080368,-0.0828800052404404,-0.618099987506866
-0.0851199999451637,-0.0838600024580956,-0.616280019283295
-0.099260002374649,-0.0896000042557716,-0.618939995765686
-0.115639999508858,-0.100380003452301,-0.617399990558624
-0.119000002741814,-0.101360000669956,-0.624119997024536
-0.132160007953644,-0.103040002286434,-0.632800042629242
-0.136920005083084,-0.106960006058216,-0.633500039577484
-0.150080010294914,-0.107519999146461,-0.644980013370514
-0.155680000782013,-0.112280003726482,-0.653240025043488
-0.155819997191429,-0.111859999597073,-0.668500006198883
-0.159319996833801,-0.113680005073547,-0.673400044441223
-0.166880011558533,-0.115220002830029,-0.688660025596619
-0.168840005993843,-0.116340003907681,-0.702100038528442
-0.171080008149147,-0.120820000767708,-0.71204000711441
-0.176679998636246,-0.117600001394749,-0.712599992752075
-0.174440011382103,-0.116480000317097,-0.714700043201447
-0.173600003123283,-0.119000002741814,-0.715120017528534
-0.177380010485649,-0.116900004446507,-0.710780024528503
-0.171780005097389,-0.117320001125336,-0.707000017166138
-0.171080008149147,-0.122780002653599,-0.706160008907318
-0.173600003123283,-0.120680004358292,-0.688660025596619
-0.165900006890297,-0.119280003011227,-0.691600024700165
-0.163660004734993,-0.117460004985332,-0.687680006027222
-0.167020007967949,-0.115639999508858,-0.677740037441254
-0.165059998631477,-0.112420000135899,-0.681800007820129
-0.167860001325607,-0.114940002560616,-0.695100009441376
-0.167999997735023,-0.11116000264883,-0.705040037631989
-0.165619999170303,-0.109900005161762,-0.729120016098022
-0.174440011382103,-0.107799999415874,-0.761880040168762
-0.176260009407997,-0.099260002374649,-0.79967999458313
-0.17654000222683,-0.092960000038147,-0.825720012187958
-0.177520006895065,-0.0728000029921532,-0.861280024051666
-0.177520006895065,-0.0575400032103062,-0.903140008449554
-0.182840004563332,-0.0334600023925304,-0.936880052089691
-0.19123999774456,0.00083999999333173,-0.981959998607635
-0.195020005106926,0.0211399998515844,-1.01248002052307
-0.20202000439167,0.0540399998426437,-1.03656005859375
-0.206640005111694,0.0966000035405159,-1.06161999702454
-0.210980013012886,0.120260000228882,-1.07730007171631
-0.216719999909401,0.174440011382103,-1.09774005413055
-0.21798001229763,0.211400002241135,-1.11033999919891
-0.219659999012947,0.243180006742477,-1.11132001876831
-0.225400000810623,0.282240003347397,-1.10585999488831
-0.225260004401207,0.316819995641708,-1.10194003582001
-0.230160012841225,0.348040014505386,-1.09872007369995
-0.227640002965927,0.390740007162094,-1.07884001731873
-0.226940006017685,0.421680003404617,-1.0728200674057
-0.235339999198914,0.441980004310608,-1.06848001480103
-0.232960000634193,0.470540016889572,-1.04874002933502
-0.235480010509491,0.482580006122589,-1.03263998031616
-0.232820004224777,0.506940007209778,-1.0220000743866
-0.239540010690689,0.523739993572235,-1.00730001926422
-0.240380004048347,0.53004002571106,-0.991480052471161
-0.236740007996559,0.543340027332306,-0.985040009021759
-0.248220011591911,0.547820031642914,-0.974540054798126
-0.24864000082016,0.556080043315887,-0.966980040073395
-0.250459998846054,0.564060032367706,-0.954659998416901
-0.250039994716644,0.577360033988953,-0.950740039348602
-0.256480008363724,0.57175999879837,-0.944160044193268
-0.254800021648407,0.57694000005722,-0.943180024623871
-0.257180005311966,0.57694000005722,-0.93884003162384
-0.257880002260208,0.57344001531601,-0.936460018157959
-0.258720010519028,0.580300033092499,-0.940940022468567
-0.25424000620842,0.57694000005722,-0.942760050296783
-0.251159995794296,0.574559986591339,-0.943880021572113
-0.245700001716614,0.56657999753952,-0.954940021038055
-0.24108000099659,0.556919991970062,-0.965160012245178
-0.239260002970695,0.543200016021729,-0.976779997348785
-0.224000006914139,0.533120036125183,-0.996240019798279
-0.215740010142326,0.511839985847473,-1.01346004009247
-0.204680010676384,0.493500024080276,-1.02760004997253
-0.190680012106895,0.452480018138885,-1.05055999755859
-0.183820009231567,0.424340009689331,-1.06400001049042
-0.169820010662079,0.397040009498596,-1.07254004478455
-0.160020008683205,0.356160014867783,-1.08513998985291
-0.147560000419617,0.325920015573502,-1.08723998069763
-0.133980005979538,0.27496001124382,-1.08626008033752
-0.124600000679493,0.236880004405975,-1.07925999164581
-0.114240005612373,0.196979999542236,-1.0738000869751
-0.104160003364086,0.161559998989105,-1.06120002269745
-0.0994000062346458,0.1370600014925,-1.04454004764557
-0.0915600061416626,0.0781200006604195,-1.00996005535126
-0.092399999499321,0.0513800010085106,-0.985320031642914
-0.0891800001263618,0.0209999997168779,-0.953680038452148
-0.0804999992251396,-0.00420000031590462,-0.927640020847321
-0.0807799994945526,-0.0274400003254414,-0.893900036811829
-0.0809200033545494,-0.047180000692606,-0.846300005912781
-0.0870800018310547,-0.0649600028991699,-0.807520031929016
-0.0872200056910515,-0.0754600018262863,-0.772800028324127
-0.0928200036287308,-0.0855400040745735,-0.740600049495697
